,STATE/UT,YEAR,TIME,ACCIDENTS
2452,Manipur,2013,12-15 hrs (Day),190
2453,Manipur,2013,15-18 hrs (Day),142
2454,Manipur,2013,18-21 hrs (Night),124
2455,Manipur,2013,21-24 hrs (Night),29
2456,Manipur,2014,0-3 hrs. (Night),7
2457,Manipur,2014,3-6 hrs. (Night),8
2458,Manipur,2014,6-9 hrs (Day),47
2459,Manipur,2014,9-12 hrs (Day),162
2460,Manipur,2014,12-15 hrs (Day),148
2461,Manipur,2014,15-18 hrs (Day),173
2462,Manipur,2014,18-21 hrs (Night),141
2463,Manipur,2014,21-24 hrs (Night),49
2464,Meghalaya,2001,0-3 hrs. (Night),10
2465,Meghalaya,2001,3-6 hrs. (Night),11
2466,Meghalaya,2001,6-9 hrs (Day),21
2467,Meghalaya,2001,9-12 hrs (Day),27
2468,Meghalaya,2001,12-15 hrs (Day),26
2469,Meghalaya,2001,15-18 hrs (Day),25
2470,Meghalaya,2001,18-21 hrs (Night),28
2471,Meghalaya,2001,21-24 hrs (Night),13
2472,Meghalaya,2002,0-3 hrs. (Night),32
2473,Meghalaya,2002,3-6 hrs. (Night),37
2474,Meghalaya,2002,6-9 hrs (Day),57
2475,Meghalaya,2002,9-12 hrs (Day),84
2476,Meghalaya,2002,12-15 hrs (Day),63
2477,Meghalaya,2002,15-18 hrs (Day),74
2478,Meghalaya,2002,18-21 hrs (Night),77
2479,Meghalaya,2002,21-24 hrs (Night),41
2480,Meghalaya,2003,0-3 hrs. (Night),43
2481,Meghalaya,2003,3-6 hrs. (Night),44
2482,Meghalaya,2003,6-9 hrs (Day),50
2483,Meghalaya,2003,9-12 hrs (Day),54
2484,Meghalaya,2003,12-15 hrs (Day),54
2485,Meghalaya,2003,15-18 hrs (Day),49
2486,Meghalaya,2003,18-21 hrs (Night),41
2487,Meghalaya,2003,21-24 hrs (Night),38
2488,Meghalaya,2004,0-3 hrs. (Night),27
2489,Meghalaya,2004,3-6 hrs. (Night),39
2490,Meghalaya,2004,6-9 hrs (Day),41
2491,Meghalaya,2004,9-12 hrs (Day),52
2492,Meghalaya,2004,12-15 hrs (Day),40
2493,Meghalaya,2004,15-18 hrs (Day),59
2494,Meghalaya,2004,18-21 hrs (Night),32
2495,Meghalaya,2004,21-24 hrs (Night),38
2496,Meghalaya,2005,0-3 hrs. (Night),12
2497,Meghalaya,2005,3-6 hrs. (Night),29
2498,Meghalaya,2005,6-9 hrs (Day),42
2499,Meghalaya,2005,9-12 hrs (Day),55
2500,Meghalaya,2005,12-15 hrs (Day),52
2501,Meghalaya,2005,15-18 hrs (Day),50
2502,Meghalaya,2005,18-21 hrs (Night),56
2503,Meghalaya,2005,21-24 hrs (Night),34
2504,Meghalaya,2006,0-3 hrs. (Night),4
2505,Meghalaya,2006,3-6 hrs. (Night),2
2506,Meghalaya,2006,6-9 hrs (Day),24
2507,Meghalaya,2006,9-12 hrs (Day),22
2508,Meghalaya,2006,12-15 hrs (Day),29
2509,Meghalaya,2006,15-18 hrs (Day),37
2510,Meghalaya,2006,18-21 hrs (Night),36
2511,Meghalaya,2006,21-24 hrs (Night),22
2512,Meghalaya,2007,0-3 hrs. (Night),3
2513,Meghalaya,2007,3-6 hrs. (Night),5
2514,Meghalaya,2007,6-9 hrs (Day),15
2515,Meghalaya,2007,9-12 hrs (Day),16
2516,Meghalaya,2007,12-15 hrs (Day),15
2517,Meghalaya,2007,15-18 hrs (Day),24
2518,Meghalaya,2007,18-21 hrs (Night),24
2519,Meghalaya,2007,21-24 hrs (Night),55
2520,Meghalaya,2008,0-3 hrs. (Night),11
2521,Meghalaya,2008,3-6 hrs. (Night),17
2522,Meghalaya,2008,6-9 hrs (Day),23
2523,Meghalaya,2008,9-12 hrs (Day),22
2524,Meghalaya,2008,12-15 hrs (Day),31
2525,Meghalaya,2008,15-18 hrs (Day),26
2526,Meghalaya,2008,18-21 hrs (Night),22
2527,Meghalaya,2008,21-24 hrs (Night),39
2528,Meghalaya,2009,0-3 hrs. (Night),17
2529,Meghalaya,2009,3-6 hrs. (Night),16
2530,Meghalaya,2009,6-9 hrs (Day),37
2531,Meghalaya,2009,9-12 hrs (Day),48
2532,Meghalaya,2009,12-15 hrs (Day),55
2533,Meghalaya,2009,15-18 hrs (Day),53
2534,Meghalaya,2009,18-21 hrs (Night),48
2535,Meghalaya,2009,21-24 hrs (Night),40
2536,Meghalaya,2010,0-3 hrs. (Night),17
2537,Meghalaya,2010,3-6 hrs. (Night),21
2538,Meghalaya,2010,6-9 hrs (Day),25
2539,Meghalaya,2010,9-12 hrs (Day),39
2540,Meghalaya,2010,12-15 hrs (Day),49
2541,Meghalaya,2010,15-18 hrs (Day),43
2542,Meghalaya,2010,18-21 hrs (Night),32
2543,Meghalaya,2010,21-24 hrs (Night),31
2544,Meghalaya,2011,0-3 hrs. (Night),10
2545,Meghalaya,2011,3-6 hrs. (Night),22
2546,Meghalaya,2011,6-9 hrs (Day),37
2547,Meghalaya,2011,9-12 hrs (Day),38
2548,Meghalaya,2011,12-15 hrs (Day),42
2549,Meghalaya,2011,15-18 hrs (Day),47
2550,Meghalaya,2011,18-21 hrs (Night),39
2551,Meghalaya,2011,21-24 hrs (Night),26
2552,Meghalaya,2012,0-3 hrs. (Night),25
2553,Meghalaya,2012,3-6 hrs. (Night),29
2554,Meghalaya,2012,6-9 hrs (Day),45
2555,Meghalaya,2012,9-12 hrs (Day),61
2556,Meghalaya,2012,12-15 hrs (Day),60
2557,Meghalaya,2012,15-18 hrs (Day),59
2558,Meghalaya,2012,18-21 hrs (Night),39
2559,Meghalaya,2012,21-24 hrs (Night),37
2560,Meghalaya,2013,0-3 hrs. (Night),7
2561,Meghalaya,2013,3-6 hrs. (Night),17
2562,Meghalaya,2013,6-9 hrs (Day),21
2563,Meghalaya,2013,9-12 hrs (Day),23
2564,Meghalaya,2013,12-15 hrs (Day),29
2565,Meghalaya,2013,15-18 hrs (Day),28
2566,Meghalaya,2013,18-21 hrs (Night),38
2567,Meghalaya,2013,21-24 hrs (Night),31
2568,Meghalaya,2014,0-3 hrs. (Night),10
2569,Meghalaya,2014,3-6 hrs. (Night),19
2570,Meghalaya,2014,6-9 hrs (Day),30
2571,Meghalaya,2014,9-12 hrs (Day),45
2572,Meghalaya,2014,12-15 hrs (Day),59
2573,Meghalaya,2014,15-18 hrs (Day),55
2574,Meghalaya,2014,18-21 hrs (Night),50
2575,Meghalaya,2014,21-24 hrs (Night),33
2576,Mizoram,2001,0-3 hrs. (Night),5
2577,Mizoram,2001,3-6 hrs. (Night),5
2578,Mizoram,2001,6-9 hrs (Day),10
2579,Mizoram,2001,9-12 hrs (Day),12
2580,Mizoram,2001,12-15 hrs (Day),11
2581,Mizoram,2001,15-18 hrs (Day),9
2582,Mizoram,2001,18-21 hrs (Night),14
2583,Mizoram,2001,21-24 hrs (Night),6
2584,Mizoram,2002,0-3 hrs. (Night),1
2585,Mizoram,2002,3-6 hrs. (Night),5
2586,Mizoram,2002,6-9 hrs (Day),4
2587,Mizoram,2002,9-12 hrs (Day),9
2588,Mizoram,2002,12-15 hrs (Day),8
2589,Mizoram,2002,15-18 hrs (Day),4
2590,Mizoram,2002,18-21 hrs (Night),3
2591,Mizoram,2002,21-24 hrs (Night),7
2592,Mizoram,2003,0-3 hrs. (Night),8
2593,Mizoram,2003,3-6 hrs. (Night),6
2594,Mizoram,2003,6-9 hrs (Day),8
2595,Mizoram,2003,9-12 hrs (Day),8
2596,Mizoram,2003,12-15 hrs (Day),13
2597,Mizoram,2003,15-18 hrs (Day),8
2598,Mizoram,2003,18-21 hrs (Night),9
2599,Mizoram,2003,21-24 hrs (Night),11
2600,Mizoram,2004,0-3 hrs. (Night),2
2601,Mizoram,2004,3-6 hrs. (Night),5
2602,Mizoram,2004,6-9 hrs (Day),4
2603,Mizoram,2004,9-12 hrs (Day),6
2604,Mizoram,2004,12-15 hrs (Day),7
2605,Mizoram,2004,15-18 hrs (Day),4
2606,Mizoram,2004,18-21 hrs (Night),3
2607,Mizoram,2004,21-24 hrs (Night),7
2608,Mizoram,2005,0-3 hrs. (Night),3
2609,Mizoram,2005,3-6 hrs. (Night),2
2610,Mizoram,2005,6-9 hrs (Day),5
2611,Mizoram,2005,9-12 hrs (Day),9
2612,Mizoram,2005,12-15 hrs (Day),15
2613,Mizoram,2005,15-18 hrs (Day),18
2614,Mizoram,2005,18-21 hrs (Night),16
2615,Mizoram,2005,21-24 hrs (Night),3
2616,Mizoram,2006,0-3 hrs. (Night),3
2617,Mizoram,2006,3-6 hrs. (Night),9
2618,Mizoram,2006,6-9 hrs (Day),7
2619,Mizoram,2006,9-12 hrs (Day),10
2620,Mizoram,2006,12-15 hrs (Day),7
2621,Mizoram,2006,15-18 hrs (Day),13
2622,Mizoram,2006,18-21 hrs (Night),13
2623,Mizoram,2006,21-24 hrs (Night),10
2624,Mizoram,2007,0-3 hrs. (Night),1
2625,Mizoram,2007,3-6 hrs. (Night),1
2626,Mizoram,2007,6-9 hrs (Day),3
2627,Mizoram,2007,9-12 hrs (Day),9
2628,Mizoram,2007,12-15 hrs (Day),14
2629,Mizoram,2007,15-18 hrs (Day),15
2630,Mizoram,2007,18-21 hrs (Night),8
2631,Mizoram,2007,21-24 hrs (Night),1
2632,Mizoram,2008,0-3 hrs. (Night),12
2633,Mizoram,2008,3-6 hrs. (Night),9
2634,Mizoram,2008,6-9 hrs (Day),9
2635,Mizoram,2008,9-12 hrs (Day),12
2636,Mizoram,2008,12-15 hrs (Day),9
2637,Mizoram,2008,15-18 hrs (Day),12
2638,Mizoram,2008,18-21 hrs (Night),16
2639,Mizoram,2008,21-24 hrs (Night),8
2640,Mizoram,2009,0-3 hrs. (Night),9
2641,Mizoram,2009,3-6 hrs. (Night),7
2642,Mizoram,2009,6-9 hrs (Day),9
2643,Mizoram,2009,9-12 hrs (Day),4
2644,Mizoram,2009,12-15 hrs (Day),7
2645,Mizoram,2009,15-18 hrs (Day),4
2646,Mizoram,2009,18-21 hrs (Night),16
2647,Mizoram,2009,21-24 hrs (Night),15
2648,Mizoram,2010,0-3 hrs. (Night),14
2649,Mizoram,2010,3-6 hrs. (Night),13
2650,Mizoram,2010,6-9 hrs (Day),24
2651,Mizoram,2010,9-12 hrs (Day),12
2652,Mizoram,2010,12-15 hrs (Day),13
2653,Mizoram,2010,15-18 hrs (Day),16
2654,Mizoram,2010,18-21 hrs (Night),20
2655,Mizoram,2010,21-24 hrs (Night),13
2656,Mizoram,2011,0-3 hrs. (Night),5
2657,Mizoram,2011,3-6 hrs. (Night),3
2658,Mizoram,2011,6-9 hrs (Day),10
2659,Mizoram,2011,9-12 hrs (Day),9
2660,Mizoram,2011,12-15 hrs (Day),8
2661,Mizoram,2011,15-18 hrs (Day),24
2662,Mizoram,2011,18-21 hrs (Night),20
2663,Mizoram,2011,21-24 hrs (Night),18
2664,Mizoram,2012,0-3 hrs. (Night),2
2665,Mizoram,2012,3-6 hrs. (Night),11
2666,Mizoram,2012,6-9 hrs (Day),16
2667,Mizoram,2012,9-12 hrs (Day),26
2668,Mizoram,2012,12-15 hrs (Day),15
2669,Mizoram,2012,15-18 hrs (Day),24
2670,Mizoram,2012,18-21 hrs (Night),9
2671,Mizoram,2012,21-24 hrs (Night),7
2672,Mizoram,2013,0-3 hrs. (Night),4
2673,Mizoram,2013,3-6 hrs. (Night),5
2674,Mizoram,2013,6-9 hrs (Day),9
2675,Mizoram,2013,9-12 hrs (Day),17
2676,Mizoram,2013,12-15 hrs (Day),16
2677,Mizoram,2013,15-18 hrs (Day),26
2678,Mizoram,2013,18-21 hrs (Night),20
2679,Mizoram,2013,21-24 hrs (Night),17
2680,Mizoram,2014,0-3 hrs. (Night),5
2681,Mizoram,2014,3-6 hrs. (Night),12
2682,Mizoram,2014,6-9 hrs (Day),11
2683,Mizoram,2014,9-12 hrs (Day),9
2684,Mizoram,2014,12-15 hrs (Day),11
2685,Mizoram,2014,15-18 hrs (Day),20
2686,Mizoram,2014,18-21 hrs (Night),15
2687,Mizoram,2014,21-24 hrs (Night),12
2688,Nagaland,2001,0-3 hrs. (Night),0
2689,Nagaland,2001,3-6 hrs. (Night),1
2690,Nagaland,2001,6-9 hrs (Day),3
2691,Nagaland,2001,9-12 hrs (Day),3
2692,Nagaland,2001,12-15 hrs (Day),9
2693,Nagaland,2001,15-18 hrs (Day),21
2694,Nagaland,2001,18-21 hrs (Night),19
2695,Nagaland,2001,21-24 hrs (Night),4
2696,Nagaland,2002,0-3 hrs. (Night),2
2697,Nagaland,2002,3-6 hrs. (Night),4
2698,Nagaland,2002,6-9 hrs (Day),4
2699,Nagaland,2002,9-12 hrs (Day),7
2700,Nagaland,2002,12-15 hrs (Day),4
2701,Nagaland,2002,15-18 hrs (Day),9
2702,Nagaland,2002,18-21 hrs (Night),3
2703,Nagaland,2002,21-24 hrs (Night),1
2704,Nagaland,2003,0-3 hrs. (Night),1
2705,Nagaland,2003,3-6 hrs. (Night),2
2706,Nagaland,2003,6-9 hrs (Day),8
2707,Nagaland,2003,9-12 hrs (Day),11
2708,Nagaland,2003,12-15 hrs (Day),7
2709,Nagaland,2003,15-18 hrs (Day),11
2710,Nagaland,2003,18-21 hrs (Night),13
2711,Nagaland,2003,21-24 hrs (Night),3
2712,Nagaland,2004,0-3 hrs. (Night),3
2713,Nagaland,2004,3-6 hrs. (Night),2
2714,Nagaland,2004,6-9 hrs (Day),7
2715,Nagaland,2004,9-12 hrs (Day),17
2716,Nagaland,2004,12-15 hrs (Day),9
2717,Nagaland,2004,15-18 hrs (Day),15
2718,Nagaland,2004,18-21 hrs (Night),11
2719,Nagaland,2004,21-24 hrs (Night),4
2720,Nagaland,2005,0-3 hrs. (Night),3
2721,Nagaland,2005,3-6 hrs. (Night),1
2722,Nagaland,2005,6-9 hrs (Day),6
2723,Nagaland,2005,9-12 hrs (Day),12
2724,Nagaland,2005,12-15 hrs (Day),13
2725,Nagaland,2005,15-18 hrs (Day),9
2726,Nagaland,2005,18-21 hrs (Night),7
2727,Nagaland,2005,21-24 hrs (Night),2
2728,Nagaland,2006,0-3 hrs. (Night),4
2729,Nagaland,2006,3-6 hrs. (Night),5
2730,Nagaland,2006,6-9 hrs (Day),10
2731,Nagaland,2006,9-12 hrs (Day),17
2732,Nagaland,2006,12-15 hrs (Day),10
2733,Nagaland,2006,15-18 hrs (Day),15
2734,Nagaland,2006,18-21 hrs (Night),11
2735,Nagaland,2006,21-24 hrs (Night),5
2736,Nagaland,2007,0-3 hrs. (Night),4
2737,Nagaland,2007,3-6 hrs. (Night),2
2738,Nagaland,2007,6-9 hrs (Day),13
2739,Nagaland,2007,9-12 hrs (Day),15
2740,Nagaland,2007,12-15 hrs (Day),18
2741,Nagaland,2007,15-18 hrs (Day),6
2742,Nagaland,2007,18-21 hrs (Night),10
2743,Nagaland,2007,21-24 hrs (Night),7
2744,Nagaland,2008,0-3 hrs. (Night),0
2745,Nagaland,2008,3-6 hrs. (Night),2
2746,Nagaland,2008,6-9 hrs (Day),12
2747,Nagaland,2008,9-12 hrs (Day),18
2748,Nagaland,2008,12-15 hrs (Day),28
2749,Nagaland,2008,15-18 hrs (Day),28
2750,Nagaland,2008,18-21 hrs (Night),26
2751,Nagaland,2008,21-24 hrs (Night),12
2752,Nagaland,2009,0-3 hrs. (Night),1
2753,Nagaland,2009,3-6 hrs. (Night),2
2754,Nagaland,2009,6-9 hrs (Day),7
2755,Nagaland,2009,9-12 hrs (Day),5
2756,Nagaland,2009,12-15 hrs (Day),11
2757,Nagaland,2009,15-18 hrs (Day),10
2758,Nagaland,2009,18-21 hrs (Night),3
2759,Nagaland,2009,21-24 hrs (Night),8
2760,Nagaland,2010,0-3 hrs. (Night),0
2761,Nagaland,2010,3-6 hrs. (Night),1
2762,Nagaland,2010,6-9 hrs (Day),6
2763,Nagaland,2010,9-12 hrs (Day),4
2764,Nagaland,2010,12-15 hrs (Day),13
2765,Nagaland,2010,15-18 hrs (Day),9
2766,Nagaland,2010,18-21 hrs (Night),3
2767,Nagaland,2010,21-24 hrs (Night),8
2768,Nagaland,2011,0-3 hrs. (Night),2
2769,Nagaland,2011,3-6 hrs. (Night),4
2770,Nagaland,2011,6-9 hrs (Day),2
2771,Nagaland,2011,9-12 hrs (Day),4
2772,Nagaland,2011,12-15 hrs (Day),6
2773,Nagaland,2011,15-18 hrs (Day),8
2774,Nagaland,2011,18-21 hrs (Night),3
2775,Nagaland,2011,21-24 hrs (Night),3
2776,Nagaland,2012,0-3 hrs. (Night),6
2777,Nagaland,2012,3-6 hrs. (Night),0
2778,Nagaland,2012,6-9 hrs (Day),3
2779,Nagaland,2012,9-12 hrs (Day),4
2780,Nagaland,2012,12-15 hrs (Day),7
2781,Nagaland,2012,15-18 hrs (Day),6
2782,Nagaland,2012,18-21 hrs (Night),7
2783,Nagaland,2012,21-24 hrs (Night),9
2784,Nagaland,2013,0-3 hrs. (Night),0
2785,Nagaland,2013,3-6 hrs. (Night),2
2786,Nagaland,2013,6-9 hrs (Day),5
2787,Nagaland,2013,9-12 hrs (Day),7
2788,Nagaland,2013,12-15 hrs (Day),10
2789,Nagaland,2013,15-18 hrs (Day),5
2790,Nagaland,2013,18-21 hrs (Night),6
2791,Nagaland,2013,21-24 hrs (Night),4
2792,Nagaland,2014,0-3 hrs. (Night),0
2793,Nagaland,2014,3-6 hrs. (Night),2
2794,Nagaland,2014,6-9 hrs (Day),3
2795,Nagaland,2014,9-12 hrs (Day),3
2796,Nagaland,2014,12-15 hrs (Day),8
2797,Nagaland,2014,15-18 hrs (Day),6
2798,Nagaland,2014,18-21 hrs (Night),5
2799,Nagaland,2014,21-24 hrs (Night),1
2800,Odisha,2001,0-3 hrs. (Night),517
